# Pick And Place List
# eMail=
#
# Project=BodenfeuchteV1.4-PCB
# Date=00:39:32
# CreatedBy=Fritzing 1.0.6.2025-10-07.CD-2239-0-04e5bb02
#
# Coordinates in mils, always center of component
# Origin 0/0=Lower left corner of PCB. Rotation in degree (0-360, math. pos.)
RefDes,Description,Package,X,Y,Rotation,Side,Mount
Description: resistance;capacitance;inductance;voltage;current;power;mpn;mn;
BAT1,";;;;;;;;","battery-18650-kit",1678.35,1368.68,180,Bottom,SMT
ESP32-c6,";;;;;;;;","",1367.12,2496.88,-90,Top,MANUAL
Sensor4,";;;;;;;;","THT",432.795,666.452,-90,Top,THT
Sensor3,";;;;;;;;","THT",1232.8,666.452,-90,Top,THT
Sensor2,";;;;;;;;","THT",2095,666.457,-90,Top,THT
Sensor1,";;;;;;;;","THT",2895,666.457,-90,Top,THT
1kOhm,"1k;;;;;0.25W;;;","THT",3000,1946.46,0,Top,THT
Q1,";;;;;;;;","TO220 [THT]",3000,2206.46,0,Top,THT
10kOhm,"10k;;;;;0.25W;;;","THT",2900,2446.46,180,Top,THT
Solar,";;;;;;;;","THT",3005,2806.46,90,Top,THT
